rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
1,412,766,766,733
2,1265,2120,1265,2120
3,2178,1684,1684,1684
4,2112,2004,2004,2004
5,1072,831,831,733
6,199,379,379,704
7,30,1774,1774,1585
8,1796,493,1796,733
9,2092,1443,1443,733
10,1299,1593,1593,1593
11,199,1807,1939,1807
12,1551,2120,720,2120
13,112,639,639,639
14,2113,1591,1591,1591
15,655,733,733,733
16,199,1454,1344,1454
17,1757,2225,2225,2225
18,2093,1936,1497,1936
19,1082,1082,1082,1898
20,1728,1728,1728,1684
21,274,1766,1766,1766
22,1660,1660,1660,2214
23,1278,957,900,957
24,1938,454,2010,733
25,199,287,861,287
26,1916,1872,1916,1872
27,78,733,733,733
28,2187,634,477,634
29,2093,733,733,733
30,1796,1796,1796,1709
31,30,1774,1774,1326
32,199,183,2205,183
33,1431,754,754,754
34,1250,733,733,733
35,429,733,733,733
36,199,136,1939,136
37,1460,408,104,408
38,199,1454,1344,1454
39,1272,733,733,733
40,1164,1092,1092,1092
41,1404,733,733,733
42,199,263,477,263
43,1164,1092,1092,1092
44,199,330,1787,330
45,199,379,379,379
46,18,1227,1227,1227
47,764,979,979,794
48,1662,594,900,733
49,1938,595,2010,733
1,1479,1684,1684,837
2,986,915,915,986
3,1479,1684,1684,299
4,1479,803,1060,803
5,1510,1591,1591,1591
6,412,766,766,733
7,1487,1227,1227,1227
8,2178,1684,1684,1684
9,1731,1867,1867,1222
10,2101,1936,1684,1684
11,986,915,915,915
12,1479,1079,1079,1079
13,2112,2004,2004,2004
14,1479,2181,2181,2181
15,1916,1872,1916,1872
16,986,915,915,915
17,1265,2120,1265,2120
18,1072,831,831,733
19,986,915,915,915
20,1479,1684,1684,1555
21,986,915,915,915
22,1796,493,1796,733
23,2187,634,477,634
24,986,915,915,733
25,2092,1443,1443,733
26,30,1774,1774,1585
27,2113,1591,1591,1591
28,1479,33,1060,33
29,199,379,379,704
30,1479,1684,1684,299
31,1299,1593,1593,1593
32,1551,2120,720,2120
33,655,733,733,733
34,1299,1593,1593,1593
35,112,639,639,639
36,1479,1684,1684,1209
37,1479,644,1157,733
38,2039,196,1968,196
39,1250,733,733,733
40,1725,1503,1503,1629
41,1082,1082,1082,1898
42,1540,1135,1135,1135
43,1938,454,2010,733
44,1728,1728,1728,1684
45,429,733,733,733
46,274,1766,1766,1766
47,78,733,733,733
48,1796,1796,1796,1709
49,1278,957,900,957
50,2093,1936,1497,1936
1,412,1660,1660,240
2,1731,1867,1867,1867
3,1479,1684,1684,837
4,1883,1883,1883,203
5,412,1895,1895,1895
6,2023,1577,1974,1577
7,1731,1867,1867,1222
8,1248,724,724,724
9,1510,1591,1591,1591
10,1299,1593,1593,1593
11,412,766,766,733
12,1475,369,900,369
13,1479,1684,1684,299
14,1487,1227,1227,1227
15,1055,1056,1056,1056
16,1010,979,1155,733
17,2178,1684,1684,1684
18,2112,2004,2004,2004
19,412,1673,1673,1673
20,986,915,915,986
21,1603,1195,1195,919
22,1479,803,1060,803
23,1265,2120,1265,2120
24,1791,933,933,733
25,2092,1443,1443,733
26,1479,2181,2181,2181
27,655,733,733,733
28,1072,831,831,733
29,2113,1591,1591,1591
30,2187,634,477,634
31,1731,2166,2166,1867
32,1479,1079,1079,1079
33,1731,1867,1867,1867
34,2101,1936,1684,1684
35,1731,1867,1867,178
36,2049,1243,1313,1243
37,1796,493,1796,733
38,1731,1867,1731,1867
39,30,1774,1774,1585
40,1731,1867,1867,1867
41,1731,1402,1402,1867
42,1916,1872,1916,1872
43,1731,687,143,1867
44,83,894,1651,894
45,199,379,379,704
46,1082,1082,1082,1898
47,1540,1135,1135,1135
48,1938,454,2010,733
49,1731,1867,1867,1867
50,1097,733,733,733
1,1082,1082,1082,1898
2,1731,1867,1867,1867
3,412,1660,1660,240
4,764,979,979,794
5,1485,733,733,733
6,1257,1257,1257,1257
7,1479,1684,1684,837
8,1082,1898,1082,733
9,2113,1591,1591,1591
10,1883,1883,1883,203
11,1603,1138,900,1138
12,1082,1082,1082,1898
13,1475,369,900,369
14,1010,979,1155,733
15,1731,1867,1867,1222
16,1510,1591,1591,1591
17,712,1643,1643,733
18,1082,1898,1082,733
19,1479,1684,1684,299
20,412,1895,1895,1895
21,1248,724,724,724
22,2112,2004,2004,2004
23,1603,1195,1195,919
24,412,766,766,733
25,2023,1577,1974,1577
26,579,379,379,379
27,1416,889,889,1242
28,1082,1082,1082,1898
29,1487,1227,1227,1227
30,2178,1684,1684,1684
31,75,754,754,733
32,1082,1082,1082,1898
33,1082,1082,1082,1898
34,1299,1593,1593,1593
35,1265,2120,1265,2120
36,1791,933,933,733
37,1479,803,1060,803
38,1365,510,1998,510
39,1479,2181,2181,2181
40,986,915,915,986
41,2113,1591,1591,1591
42,655,733,733,733
43,2187,634,477,634
44,1072,831,831,733
45,969,638,304,304
46,1485,733,733,733
47,377,733,733,733
48,1055,1056,1056,1056
49,74,733,733,733
50,1082,1082,1082,1898
1,1004,762,762,733
2,1004,762,762,733
3,1002,2001,2001,2001
4,1004,762,762,733
5,1004,2016,762,733
7,1731,1867,1867,1867
8,1004,762,762,733
9,1082,1082,1082,1898
10,412,1660,1660,240
11,1004,762,762,733
12,1004,607,762,733
13,1004,762,762,733
14,1544,1436,1436,1436
15,1948,1869,1869,1869
16,2113,1591,1591,1591
17,1004,2120,762,733
18,1004,762,762,733
19,1004,2016,762,733
20,1479,1684,1684,837
21,764,979,979,794
22,1004,733,733,733
23,711,733,733,733
24,1485,733,733,733
25,1912,426,922,426
26,885,1503,1003,1629
27,973,957,900,957
28,1883,1883,1883,203
29,1603,1138,900,1138
30,1257,1257,1257,1257
31,1991,761,2083,1668
32,579,379,379,379
33,1961,393,393,393
34,1475,369,900,369
35,1731,1867,1867,1222
36,1510,1591,1591,1591
37,1010,979,1155,733
38,1479,1684,1684,299
39,1082,1898,1082,733
40,1948,1709,1709,1709
41,75,754,754,733
42,2112,2004,2004,2004
43,1265,2120,1265,2120
44,377,733,733,733
45,2178,1684,1684,1684
46,1964,1138,1138,1339
47,17,639,639,111
48,1127,935,935,528
49,1416,889,889,1242
50,1544,2213,2213,2213
1,17,639,639,111
2,1288,2120,2120,2120
3,1002,2001,2001,2001
4,1544,1436,1436,1436
5,1004,762,762,733
6,812,1088,1088,1714
7,1545,1436,1436,1436
8,1438,1438,1523,1438
9,1731,1867,1867,1867
10,2080,733,733,733
11,1004,762,762,733
12,412,1660,1660,240
13,1082,1082,1082,1898
14,1378,1138,1147,733
15,1479,1684,1684,837
16,1545,29,1019,2151
17,1961,393,393,393
18,2113,1591,1591,1591
19,764,979,979,794
20,1883,1883,1883,203
21,1948,1869,1869,1869
22,1211,127,1211,733
23,1004,762,762,733
24,973,957,900,957
25,1004,2016,762,733
26,885,1503,1003,1629
27,1883,1883,1883,1619
28,1485,733,733,733
29,1545,2181,2181,2181
30,1257,1257,1257,1257
32,579,379,379,379
33,1731,1867,1867,1222
34,1531,754,1426,754
35,1540,1135,1135,1135
36,1544,2213,2213,2213
37,1004,762,762,733
38,1475,369,900,369
39,892,1497,1497,1497
40,1004,762,762,733
41,1010,979,1155,733
42,1603,1138,900,1138
43,2055,896,896,896
44,1912,426,922,426
45,2113,1591,1591,1591
46,1545,1520,1520,1446
47,1545,1106,1060,1106
48,1004,762,762,733
49,1545,1914,900,369
50,1004,607,762,733
1,745,1836,1844,1836
2,1545,1436,1436,1436
3,1802,565,565,565
4,1621,2181,2181,2181
5,17,639,639,111
6,1544,1436,1436,1436
7,1002,2001,2001,2001
8,1299,1593,1593,1593
9,1004,762,762,733
10,1731,1867,1867,1867
11,1545,29,1019,2151
12,711,2225,2225,2225
13,1288,2120,2120,2120
14,1952,837,1998,837
15,1438,1438,1523,1438
16,711,107,711,107
17,1479,1684,1684,837
18,812,1088,1088,1714
19,1883,1883,1883,203
20,1816,733,733,733
21,412,1660,1660,240
22,2055,896,896,896
23,1378,1138,1147,733
24,1802,1466,1470,1466
25,1545,2181,2181,2181
26,764,979,979,794
27,1004,762,762,733
28,2113,1591,1591,1591
29,1961,393,393,393
30,1082,1082,1082,1898
31,1145,1608,1060,1608
32,2080,733,733,733
33,1802,2143,2143,2143
34,1540,1135,1135,1135
35,274,733,733,733
36,75,1855,1855,733
37,1299,1593,1593,1593
38,1122,1706,1706,1599
39,711,711,711,1208
40,1485,733,733,733
41,1802,1466,1466,1466
42,711,2225,358,2225
43,1004,762,762,733
44,1660,1660,1660,2214
45,1948,1869,1869,1869
46,711,1867,1867,1867
47,885,1503,1003,1629
48,1211,127,1211,733
49,1621,252,252,252
1,1545,1436,1436,1436
2,1299,1593,1593,1593
3,1544,1436,1436,1436
4,1621,2181,2181,2181
5,17,639,639,111
6,745,1836,1844,1836
7,2055,896,896,896
8,1802,565,565,565
9,1485,1903,1485,1903
10,1002,2001,2001,2001
11,2081,733,733,733
12,1731,1867,1867,1867
13,1004,762,762,733
14,2049,1138,1138,1746
15,1883,1883,1883,203
16,1479,1684,1684,837
17,1545,29,1019,2151
18,1145,1608,1060,1608
19,1758,510,1758,510
20,1288,2120,2120,2120
21,412,1660,1660,240
22,1438,1438,1523,1438
23,2124,733,733,733
24,1952,837,1998,837
25,1816,733,733,733
26,812,1088,1088,1714
27,764,979,979,794
28,1485,1779,1485,1779
29,1961,393,393,393
30,2113,1591,1591,1591
31,1039,733,733,733
32,1004,762,762,733
33,1378,1138,1147,733
34,1540,1135,1135,1135
35,1082,1082,1082,1898
36,1948,1869,1869,1869
37,1198,1575,1666,1573
38,1545,2181,2181,2181
39,550,733,733,733
40,1589,1589,1589,1589
41,2073,543,543,543
42,2080,733,733,733
43,1299,1593,1593,1593
44,300,733,733,733
45,1122,1706,1706,1599
46,2113,1591,1591,1591
47,885,1503,1003,1629
48,1004,762,762,733
1,199,1454,1344,1454
2,17,639,639,154
3,726,208,1853,208
4,2055,896,896,896
5,1316,1316,1316,1035
6,1816,1343,922,733
7,1288,733,733,733
8,579,1694,1949,1694
9,1545,1436,1436,1436
10,763,510,1998,875
11,1299,1593,1593,1593
12,1544,1436,1436,1436
13,1071,1410,1410,1410
14,2052,1863,945,1863
15,1662,2221,1662,860
16,199,629,477,629
17,986,915,915,986
18,1621,2181,2181,2181
19,1731,1867,1867,1867
20,1756,1756,1756,1756
21,199,724,900,724
22,764,393,393,393
23,993,1585,1585,733
24,17,639,639,111
25,1802,565,565,565
26,1002,2001,2001,2001
27,726,52,891,257
28,1305,1454,900,1454
29,2049,1138,1138,1746
30,2100,1684,1684,1684
31,75,754,754,754
32,726,619,1853,619
33,1479,1684,1684,837
34,726,453,477,453
35,1048,1048,1048,1048
36,1004,762,762,733
37,745,1836,1844,1836
38,1739,2025,967,2225
39,1909,1684,1684,1684
40,1025,869,869,869
41,579,91,1949,2198
42,1529,1529,1529,1529
43,1883,1883,1883,203
44,1603,1195,551,733
45,1278,1626,1277,1626
46,2055,1022,1022,1022
47,745,639,639,639
48,412,1660,1660,240
1,2178,2213,2213,2213
2,2055,896,896,896
3,17,639,639,154
4,1417,251,251,251
5,1265,1684,1684,1684
6,199,1454,1344,1454
7,726,208,1853,208
8,1756,1756,1756,1756
9,1816,1343,922,733
10,1316,1316,1316,1035
11,745,508,967,508
12,15,1936,1936,1936
13,763,510,1998,875
14,1288,733,733,733
15,1545,1436,1436,1436
16,1918,1138,1138,1138
17,1544,1436,1436,1436
18,579,1694,1949,1694
19,1299,1593,1593,1593
20,1731,1867,1867,1867
21,2106,2170,2170,2061
22,1909,1684,1684,1684
23,2197,1546,1546,1546
24,1621,2181,2181,2181
25,986,915,915,986
26,993,1585,1585,733
27,1529,1529,1529,1529
28,764,393,393,393
29,2055,1022,1022,1022
30,2052,1863,945,1863
31,676,1139,1139,1139
32,1002,2001,2001,2001
33,1662,2221,1662,860
34,1479,1684,1684,837
35,1916,733,733,733
36,1071,1410,1410,1410
37,375,733,733,733
38,2153,733,733,733
39,1146,865,865,865
40,1004,762,762,733
41,400,733,733,733
42,17,639,639,111
43,970,733,733,733
44,726,52,891,257
45,1802,565,565,565
46,726,619,1853,619
47,1448,733,733,733
48,1551,1684,1024,1209
49,2233,1444,935,1818
50,745,1836,1844,1836
1,2226,1497,1497,1497
2,1428,1428,1428,2174
3,1265,1684,1684,1684
4,2055,896,896,896
5,2034,1466,961,1466
6,199,1454,1344,1454
7,2178,2213,2213,2213
8,1428,1428,1428,2174
9,1428,747,1428,508
10,17,639,639,154
11,763,510,1998,875
12,1316,1316,1316,1035
13,2112,1556,1556,2004
14,726,208,1853,208
15,1121,822,1121,822
16,1816,1343,922,733
17,1756,1756,1756,1756
18,15,1936,1936,1936
19,2153,733,733,733
20,1545,1436,1436,1436
21,1909,1684,1684,1684
22,1544,1436,1436,1436
23,113,2165,673,775
24,1288,733,733,733
25,2233,1444,935,1818
26,1731,1867,1867,1867
27,1417,251,251,251
28,2197,1546,1546,1546
29,745,508,967,508
30,1299,1593,1593,1593
31,1428,1428,1428,508
32,1428,1428,1428,2174
33,928,1471,928,1178
34,1623,1223,1223,1223
35,2179,920,1152,733
36,764,393,393,393
37,1918,1138,1138,1138
38,676,1139,1139,1139
39,1621,2181,2181,2181
40,1428,1428,1428,2174
41,579,1694,1949,1694
42,400,733,733,733
43,375,733,733,733
44,2055,1022,1022,1022
45,2187,500,1853,500
46,2179,1343,1343,1343
47,1002,2001,2001,2001
48,1479,1684,1684,837
49,199,629,477,629
1,1646,1575,1575,1575
2,1350,1227,1227,1227
3,412,1660,1660,1709
4,2226,1497,1497,1497
5,1250,1752,1580,1528
6,199,1454,1344,1454
7,2103,733,733,733
8,2055,896,896,896
9,1424,493,1796,1521
10,1099,1684,1684,576
11,1265,1684,1684,1684
12,2034,1466,961,1466
13,763,510,1998,875
14,1428,747,1428,508
15,1621,894,894,793
16,993,733,733,733
17,1428,1428,1428,2174
18,1316,1316,1316,1035
19,17,639,639,154
20,15,1936,1936,1936
21,2178,2213,2213,2213
22,726,208,1853,208
23,1163,960,2180,733
24,1816,1343,922,733
25,1544,1436,1436,1436
26,1909,1684,1684,1684
27,2197,1546,1546,1546
28,1731,1867,1867,1867
29,2112,1556,1556,2004
30,2153,733,733,733
31,1545,1436,1436,1436
32,113,2165,673,775
33,1756,1756,1756,1756
34,1932,1575,1575,1575
35,1288,733,733,733
36,1039,1936,1497,1936
37,109,733,733,733
38,1299,1593,1593,1593
39,1012,1026,1026,1026
40,271,733,733,733
41,1428,1428,1428,2174
42,2233,1444,935,1818
43,2187,500,1853,500
45,1002,2001,2001,2001
46,928,1471,928,1178
47,1417,251,251,251
48,1621,2181,2181,2181
1,238,639,639,639
2,238,238,238,367
3,1646,1575,1575,1575
4,238,639,639,639
5,238,238,238,187
6,2034,733,733,733
7,238,639,639,639
8,238,639,479,639
9,1227,1227,1227,1227
10,2226,1497,1497,1497
11,238,238,238,100
12,199,1454,1344,1454
13,1350,1227,1227,1227
14,412,1660,1660,1709
15,238,238,238,2174
16,238,238,238,111
17,238,238,238,154
18,1424,493,1796,1521
19,763,510,1998,875
20,425,822,425,1231
21,2055,896,896,896
22,1250,1752,1580,1528
23,238,639,238,639
24,2103,733,733,733
25,1099,1684,1684,576
26,1660,1876,1217,733
27,2132,2132,2132,778
28,238,238,238,111
29,1969,733,733,733
30,1265,1684,1684,1684
31,1316,1316,1316,1035
32,970,894,894,894
33,1071,1410,1410,1410
34,1428,1428,1428,2174
35,1873,1575,895,1573
36,993,733,733,733
37,17,639,639,154
38,1731,1867,1867,1867
39,1544,1436,1436,1436
40,15,1936,1936,1936
41,2197,1546,1546,1546
42,2178,2213,2213,2213
43,726,208,1853,208
44,1428,747,1428,508
45,2093,733,733,733
46,1909,1684,1684,1684
47,1816,1343,922,733
48,1545,1436,1436,1436
49,109,733,733,733
50,1621,894,894,793
1,1646,1575,1575,1575
2,1366,837,1115,837
3,238,639,639,639
4,412,1660,1660,528
5,238,639,639,639
6,2226,1497,1497,1497
7,412,1660,1660,1709
8,199,1454,1344,1454
9,1227,1227,1227,1227
10,238,238,238,367
11,1350,1227,1227,1227
12,2034,733,733,733
13,1227,1227,1227,1227
14,1647,733,2071,733
15,763,510,1998,875
16,1969,733,733,733
17,2055,896,896,896
18,1265,1684,1684,1684
19,1424,493,1796,1521
20,1250,1752,1580,1528
21,238,238,238,187
22,1071,1410,1410,1410
23,238,238,238,100
24,238,238,238,2174
25,1316,1316,1316,1035
26,1731,1867,1867,1867
27,1544,1436,1436,1436
28,970,894,894,894
29,425,822,425,1231
30,412,1673,1673,1673
31,2103,733,733,733
32,238,639,639,639
33,1122,1575,895,1575
34,1647,733,2071,733
35,1099,1684,1684,576
36,238,238,238,111
37,2132,2132,2132,778
38,15,1936,1936,1936
39,412,830,2182,2014
40,238,238,238,154
41,1545,1436,1436,1436
42,993,733,733,733
43,17,639,639,154
44,412,776,932,733
45,412,1709,1660,1709
46,1660,1876,1217,733
47,1647,733,2071,733
48,2197,1546,1546,1546
49,1048,953,953,953
50,238,639,479,639
1,1545,1694,16,16
2,1646,1575,1575,1575
3,1366,837,1115,837
4,238,639,639,639
5,1336,2216,922,426
6,1647,733,2071,733
7,2226,1497,1497,1497
8,238,639,639,639
9,199,1454,1344,1454
10,412,1660,1660,528
11,412,1660,1660,1709
12,1350,1227,1227,1227
13,2055,896,896,896
14,238,238,238,367
15,2034,733,733,733
16,1647,733,2071,733
17,1071,1410,1410,1410
18,1424,493,1796,1521
19,1265,1684,1684,1684
20,763,510,1998,875
21,1544,1436,1436,1436
22,1316,1316,1316,1035
23,1227,1227,1227,1227
24,1731,1867,1867,1867
25,1545,1436,1436,1436
26,1647,733,2071,733
27,1227,1227,1227,1227
28,1250,1752,1580,1528
29,1969,733,733,733
30,2103,733,733,733
31,1122,1575,895,1575
32,425,822,425,1231
33,238,238,238,187
34,914,1936,1936,1936
35,654,1577,1974,867
36,832,990,1783,1818
37,970,894,894,894
38,238,238,238,2174
39,238,238,238,100
40,1660,1660,1660,2214
41,993,733,733,733
42,238,639,639,639
43,1099,1684,1684,576
44,1647,733,1646,733
45,726,208,1853,208
46,1414,2014,1587,1587
47,15,1936,1936,1936
48,2197,1546,1546,1546
49,2132,2132,2132,778
50,17,639,639,154
1,1262,1835,1835,1835
2,1262,1835,1835,1835
3,1262,1835,1835,1835
4,1262,1835,1835,1835
5,1262,1835,1835,1835
6,1262,1835,1835,1835
7,1262,1835,1835,1835
8,1262,1835,1835,1835
9,1262,919,1835,733
10,1817,1817,1817,1247
11,1646,1575,1575,1575
12,1336,2216,922,426
13,1366,837,1115,837
14,1545,1694,16,16
15,2226,1497,1497,1497
16,238,639,639,639
17,199,1454,1344,1454
18,1647,733,2071,733
19,238,639,639,639
20,412,1660,1660,1709
21,412,1660,1660,528
22,1291,1973,1973,1973
23,1071,1410,1410,1410
24,1350,1227,1227,1227
25,2055,896,896,896
26,238,238,238,367
27,763,510,1998,875
28,1817,1817,1817,1247
29,1265,1684,1684,1684
30,1441,388,1157,733
31,1424,493,1796,1521
32,1660,1660,1660,2214
33,1316,1316,1316,1035
34,654,1577,1974,867
35,2034,733,733,733
36,1544,1436,1436,1436
37,1731,1867,1867,1867
38,914,1936,1936,1936
39,1227,1227,1227,1227
40,1647,733,2071,733
41,1250,1752,1580,1528
42,1545,1436,1436,1436
43,993,733,733,733
44,1414,2014,1587,1587
45,1757,1591,1591,1591
46,1227,1227,1227,1227
47,1122,1575,895,1575
48,1647,733,2071,733
49,214,1794,1794,534
50,1969,733,733,733
1,1491,1699,900,1699
2,1491,1652,900,1652
3,1262,1835,1835,1835
4,1491,244,244,244
5,1491,1876,900,1876
6,1491,1218,1491,1218
7,1491,1949,1949,1576
8,1491,1491,1491,244
9,1491,510,510,510
10,1491,244,244,244
11,1262,1835,1835,1835
12,1817,1817,1817,1247
13,1262,1835,1835,1835
14,1491,1862,900,1862
15,1337,367,367,367
16,1646,1575,1575,1575
17,1491,1218,900,1218
18,1262,1835,1835,1835
19,1491,1491,1491,244
20,1491,649,1491,649
21,1262,1835,1835,1835
22,1262,1835,1835,1835
23,1262,1835,1835,1835
24,1366,837,1115,837
25,238,639,639,639
26,1262,1835,1835,1835
27,1894,594,594,594
28,1262,919,1835,733
29,1894,1251,1251,733
30,2226,1497,1497,1497
31,1824,897,897,1824
32,199,1454,1344,1454
33,1291,1973,1973,1973
34,1071,1410,1410,1410
35,1336,2216,922,426
36,636,1436,1436,1436
37,1397,1192,1192,733
38,1545,1694,16,16
39,1833,1833,1833,1833
40,2055,896,896,896
41,1544,1436,1436,1436
42,2120,2120,762,2120
43,928,152,928,152
44,1350,1227,1227,1227
45,412,1660,1660,528
46,238,639,639,639
47,412,1660,1660,1709
48,928,1608,928,1608
49,763,510,1998,875
50,1757,1591,1591,1591
1,1824,897,897,1824
2,1491,1699,900,1699
3,1262,1835,1835,1835
4,1817,1817,1817,1247
5,1508,733,733,733
6,579,664,1939,140
7,1894,594,594,594
8,1491,1652,900,1652
9,238,639,639,639
10,1491,244,244,244
11,1262,1835,1835,1835
12,2039,1684,1684,1684
13,1646,1575,1575,1575
14,636,1436,1436,1436
15,1491,1876,900,1876
16,1262,1835,1835,1835
17,1491,1218,1491,1218
18,1824,897,897,787
19,1366,837,1115,837
20,1438,1438,900,733
21,1817,1690,1817,1690
22,1337,367,367,367
23,1491,1949,1949,1576
24,1262,1835,1835,1835
25,1491,1491,1491,244
26,1491,510,510,510
27,579,659,1949,659
28,1291,1973,1973,1973
29,1491,244,244,244
30,1262,1835,1835,1835
31,1262,1835,1835,1835
32,1262,1835,1835,1835
33,199,1454,1344,1454
34,1894,1251,1251,733
35,1071,1410,1410,1410
36,1824,897,897,1824
37,1262,1835,1835,1835
38,1824,1718,1718,787
39,1824,924,897,1824
40,1824,897,897,787
41,1824,897,897,1824
42,1449,1593,1593,942
43,1082,1845,879,1715
44,2226,1497,1497,1497
45,1824,897,897,1824
46,908,1246,1246,1246
47,1824,1718,1718,787
48,1833,1833,1833,1833
49,1824,924,924,1824
1,1224,2120,2120,733
2,2039,1684,1684,1684
3,1491,1699,900,1699
4,1438,1438,900,733
5,1824,897,897,1824
6,1262,1835,1835,1835
7,1508,733,733,733
8,1527,1945,1945,1945
9,1817,1817,1817,1247
10,1082,1845,879,1715
11,238,639,639,639
12,1894,594,594,594
13,1646,1575,1575,1575
14,2039,1014,1157,462
15,1491,1652,900,1652
16,636,1436,1436,1436
17,579,664,1939,140
18,1817,1690,1817,1690
19,1262,1835,1835,1835
20,1366,837,1115,837
21,1491,1876,900,1876
22,1337,367,367,367
23,1491,244,244,244
24,1262,1835,1835,1835
25,1491,1218,1491,1218
26,1071,1410,1410,1410
27,1775,837,2161,837
28,1888,1888,1888,2120
29,1291,1973,1973,1973
30,199,1454,1344,1454
31,1438,1438,1523,733
32,1833,1833,1833,1833
33,1491,1949,1949,1576
34,1262,1835,1835,1835
35,1623,1623,1623,1223
36,1894,1251,1251,733
37,1224,1660,1660,759
38,2226,1497,1497,1497
39,2120,2120,762,2120
40,1491,1491,1491,244
41,859,733,733,733
42,1491,510,510,510
43,1262,1835,1835,1835
44,1262,1835,1835,1835
45,1262,1835,1835,1835
46,1491,244,244,244
47,2039,837,900,837
48,1794,2165,2161,1298
49,1087,1087,1087,1087
1,2096,1436,1436,733
2,1224,2120,2120,733
3,2039,1684,1684,1684
4,1527,1945,1945,1945
5,1286,1286,1286,759
6,1491,1699,900,1699
7,2193,238,238,639
8,1262,1835,1835,1835
9,1352,1345,1345,426
10,1775,837,2161,837
11,2137,1637,1637,1637
12,1545,761,761,1668
13,1824,897,897,1824
14,1082,1845,879,1715
15,1817,1817,1817,1247
16,1438,1438,900,733
17,1834,995,1833,1833
18,238,639,639,639
19,1508,733,733,733
20,2096,262,262,733
21,690,745,745,154
22,1275,819,819,819
23,1130,1637,1130,1637
24,1646,1575,1575,1575
25,636,1436,1436,1436
26,1894,594,594,594
27,1355,1826,2146,1827
28,241,1277,1277,1277
29,579,664,1939,140
30,1817,1690,1817,1690
31,1833,1833,1833,1833
32,1366,837,1115,837
33,1438,1438,1523,733
34,1262,1835,1835,1835
35,2039,1014,1157,462
36,1491,1652,900,1652
37,1071,1410,1410,1410
38,690,76,76,111
39,1337,367,367,367
40,199,1454,1344,1454
41,1291,1973,1973,1973
42,2096,517,517,733
43,1491,1876,900,1876
44,1262,1835,1835,1835
45,859,733,733,733
46,1888,1888,1888,2120
47,2120,2120,762,2120
48,1491,1218,1491,1218
49,1491,244,244,244
1,1352,1345,1345,426
2,2193,238,238,639
3,2137,1637,1637,1637
4,1834,995,1833,1833
5,1275,819,819,819
6,732,1782,1157,621
7,1224,2120,2120,733
8,1286,1286,1286,759
9,2096,1436,1436,733
10,1130,1637,1130,1637
11,241,1277,1277,1277
12,1316,1316,1316,2110
13,1545,761,761,1668
14,1355,1826,2146,1827
15,2039,1684,1684,1684
16,2078,238,238,604
17,1491,1699,900,1699
18,1775,837,2161,837
19,1527,1945,1945,1945
20,1082,1845,879,1715
21,1262,1835,1835,1835
22,1817,1817,1817,1247
23,1824,897,897,1824
24,2137,1637,1637,1637
25,238,639,639,639
26,1508,733,733,733
27,1646,1575,1575,1575
28,636,1436,1436,1436
29,856,1658,1651,733
30,1438,1438,900,733
31,1508,733,733,733
32,1833,1833,1833,1833
33,1894,594,594,594
34,2120,2120,762,2120
35,1817,1690,1817,1690
36,1366,837,1115,837
37,1071,1410,1410,1410
38,913,913,1056,913
39,579,664,1939,140
40,1262,1835,1835,1835
41,1491,1652,900,1652
42,1621,1676,1676,1676
43,78,1331,1382,426
44,1794,2165,2161,1298
45,1816,587,336,587
46,123,733,733,733
47,1210,1656,1656,2026
48,2096,262,262,733
1,1756,1756,1756,1756
2,1352,1345,1345,426
3,1234,837,2161,837
4,1002,1867,1867,1867
5,732,1782,1157,621
6,2178,539,539,539
7,2078,238,238,604
8,993,2001,762,2001
9,2137,1637,1637,1637
10,2096,1436,1436,733
11,1224,2120,2120,733
12,1756,733,733,733
13,78,1331,1382,426
14,2193,238,238,639
15,1316,1316,1316,2110
16,1545,761,761,1668
17,1286,1286,1286,759
18,1757,2104,2104,2104
19,2039,1684,1684,1684
20,1775,837,2161,837
21,1508,733,733,733
22,1834,995,1833,1833
23,1082,1845,879,1715
24,1491,1699,900,1699
25,637,637,637,111
26,856,1658,1651,733
27,1527,1945,1945,1945
28,1275,819,819,819
29,1262,1835,1835,1835
30,1817,1817,1817,1247
31,1621,1676,1676,1676
32,1646,1575,1575,1575
33,238,639,639,639
34,1130,1637,1130,1637
35,636,1436,1436,1436
36,2137,1637,1637,1637
37,1824,897,897,1824
38,241,1277,1277,1277
39,1756,733,733,733
40,1816,587,336,587
41,1133,2165,2161,2165
42,1756,733,733,733
43,1756,733,733,733
44,1817,1690,1817,1690
45,1071,1410,1410,1410
46,1756,733,733,733
47,1894,594,594,594
48,1355,1826,2146,1827
49,1196,2165,1799,2165
50,1508,733,733,733
1,1756,733,733,733
2,1756,1756,1756,1756
3,17,639,639,639
4,1352,1345,1345,426
5,412,1876,1660,1876
6,1234,837,2161,837
7,1002,1867,1867,1867
8,993,2001,762,2001
9,1833,753,753,753
10,732,1782,1157,621
11,412,1876,900,1876
12,2178,539,539,539
13,637,637,637,111
14,2096,1436,1436,733
15,1545,761,761,1668
16,1756,733,733,733
17,2140,1882,749,1715
18,1224,2120,2120,733
19,78,1331,1382,426
20,2078,238,238,604
21,14,1056,1056,1041
22,1316,1922,1316,33
23,1756,733,733,733
24,856,1658,1651,733
25,2137,1637,1637,1637
26,1286,1286,1286,759
27,1756,733,733,733
28,1756,733,733,733
29,1491,1699,900,1699
30,1316,1316,1316,2110
31,2193,238,238,639
32,1757,2104,2104,2104
33,1775,837,2161,837
34,1082,1845,879,1715
