rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
32,2098,1436,1436,1436
33,1278,455,2105,733
34,329,733,733,733
35,1970,761,761,114
36,14,1201,797,797
37,78,1979,1979,1979
38,14,1660,1660,478
39,449,733,733,733
40,1369,733,733,733
41,1460,206,1536,206
42,80,238,238,508
43,1002,1867,1867,1867
44,14,1775,1775,478
45,1221,1876,1876,774
46,1663,1663,1663,1585
47,878,1763,1672,795
48,537,536,536,733
49,1320,733,1430,733
50,1551,1684,1684,1684
1,1262,1835,1835,1835
2,1262,1835,1835,1835
3,1221,733,733,733
4,1262,1835,1835,1835
5,113,837,2161,837
6,2080,1233,1216,1233
7,14,837,1236,837
8,80,238,238,639
9,1262,1835,1835,1835
10,1262,1835,1835,1835
11,579,664,1939,664
12,1460,57,1700,57
13,1262,1835,1835,1835
14,1262,1835,1835,1835
15,80,639,639,639
16,1262,1835,1835,1835
17,1262,919,1835,733
18,1545,1676,2228,733
19,1406,733,733,733
20,1262,1835,1835,733
21,878,933,933,933
22,1262,1835,1835,1835
23,113,1884,1884,907
24,1099,1648,1648,388
25,738,1658,1651,733
26,1234,875,875,842
27,1948,61,1948,733
28,732,1227,1227,1227
29,1250,733,1213,733
30,80,238,238,111
31,1784,1444,1992,774
32,14,2009,2228,1714
33,80,238,238,639
34,1828,962,962,962
35,1099,854,854,854
36,1784,733,733,733
37,1731,2206,2206,2206
38,1221,733,733,733
39,1784,733,733,733
40,2039,837,900,837
41,1856,838,838,733
42,1460,206,1536,206
43,329,733,733,733
44,1663,1663,1663,1585
45,973,957,1469,719
46,2098,1436,1436,1436
47,449,733,733,733
48,1784,469,733,774
49,80,238,238,157
1,1262,1835,1835,1835
2,1262,1835,1835,1835
3,1262,1835,1835,1835
4,1262,1835,1835,1835
5,1262,1835,1835,1835
6,1262,1835,1835,1835
7,1262,1835,1835,1835
8,1262,1835,1835,1835
9,1262,919,1835,733
10,2178,733,733,733
11,1262,1835,1835,733
12,1262,1835,1835,1835
13,2080,1233,1216,1233
14,80,238,238,639
15,14,837,1236,837
16,579,664,1939,664
17,80,639,639,639
18,113,837,2161,837
19,1545,1676,2228,733
20,1406,733,733,733
21,1525,1936,749,1936
22,1221,733,733,733
23,1460,57,1700,57
24,878,933,933,933
25,1735,2016,2016,733
26,1948,61,1948,733
27,1527,733,733,733
28,1099,1648,1648,388
29,1589,830,2182,1589
30,732,1227,1227,1227
31,1163,511,2069,511
32,1250,733,1213,733
33,610,822,609,733
34,1731,2206,2206,2206
35,1221,276,94,733
36,113,1884,1884,907
37,1856,838,838,733
38,738,1658,1651,733
39,80,238,238,111
40,329,733,733,733
41,1784,501,501,733
42,1099,854,854,854
43,1697,1092,1092,733
44,1527,733,733,733
45,2178,733,733,733
46,1786,761,761,114
47,80,238,238,639
48,2098,1436,1436,1436
49,970,733,733,733
1,1262,1835,1835,1835
2,986,733,733,733
3,1262,1835,1835,1835
4,2113,1436,1436,1436
5,1262,1835,1835,1835
6,1262,1835,1835,1835
7,1479,1591,1591,1591
8,1262,1835,1835,1835
9,1262,1835,1835,1835
10,1262,1835,1835,1835
11,986,733,733,733
12,986,733,733,733
13,2080,1233,1216,1233
14,1525,1936,749,1936
15,1262,1835,1835,1835
16,2178,733,733,733
17,1262,919,1835,733
18,986,733,733,733
19,1262,1835,1835,1835
20,986,733,733,733
21,80,238,238,639
22,986,733,733,733
23,1262,1835,1835,733
24,986,733,733,733
25,2039,1713,1179,1713
26,1784,387,387,733
27,986,733,733,733
28,579,664,1939,664
29,986,733,733,733
30,986,733,733,733
31,14,837,1236,837
32,1545,1676,2228,733
33,113,837,2161,837
34,80,639,639,639
35,1406,733,733,733
36,1244,733,733,733
37,1460,57,1700,57
38,732,1227,1227,1227
39,1948,61,1948,733
40,423,1694,423,1694
41,2102,1091,1502,733
42,878,933,933,933
43,1250,733,1213,733
44,1163,511,2069,511
45,1099,1648,1648,388
46,1336,191,1004,842
47,329,733,733,733
48,1221,733,733,733
1,1262,1835,1835,1835
2,1479,1591,1591,1591
3,1262,1835,1835,1835
4,1262,1835,1835,1835
5,2113,1436,1436,1436
6,1262,1835,1835,1835
7,986,733,733,733
8,1784,1172,1471,1172
9,1262,1835,1835,1835
10,2080,1233,1216,1233
11,449,733,733,733
12,1262,1835,1835,1835
13,1262,1835,1835,1835
14,1262,1835,1835,1835
15,1262,919,1835,733
16,80,238,238,639
17,1248,1658,1651,733
18,1525,1936,749,1936
19,2178,733,733,733
20,1262,1835,1835,1835
21,2039,1713,1179,1713
22,1479,1684,1684,1684
23,1262,1835,1835,733
24,329,733,733,733
25,579,664,1939,664
26,764,754,754,754
27,1378,1898,1898,733
28,423,1694,423,1694
29,1545,1676,2228,733
30,993,2001,2001,2001
31,14,837,1236,837
32,80,639,639,639
33,1336,191,1004,842
34,1479,562,562,562
35,113,837,2161,837
36,1244,733,733,733
37,1016,1524,1524,1524
38,329,733,733,733
39,732,1227,1227,1227
40,1475,1699,900,1699
41,1025,733,733,733
42,986,733,733,733
43,1784,387,387,733
44,1348,733,733,733
45,1406,733,733,733
46,1460,57,1700,57
47,1948,61,1948,733
48,1544,930,1232,733
49,1250,733,1213,733
1,1479,1591,1591,1591
2,1262,1835,1835,1835
3,1227,733,1466,733
4,1262,1835,1835,1835
5,2113,1436,1436,1436
6,1262,1835,1835,1835
7,2111,2111,2111,2111
8,449,733,733,733
9,1784,1172,1471,1172
10,1262,1835,1835,1835
11,2080,1233,1216,1233
12,993,2001,2001,2001
13,1262,1835,1835,1835
14,80,238,238,639
15,1475,1699,900,1699
16,2120,2120,762,2120
17,764,754,754,754
18,2178,733,733,733
19,1262,1835,1835,1835
20,1525,1936,749,1936
21,1262,1835,1835,1835
22,986,733,733,733
23,1262,1835,1835,1835
24,1248,1658,1651,733
25,579,664,1939,664
26,2111,2111,2111,2111
27,1262,1835,1835,1835
28,1262,919,1835,733
29,1479,1684,1684,1684
30,2039,1713,1179,1713
31,1545,1676,2228,733
32,1487,1410,1410,1410
33,80,639,639,639
34,1262,1835,1835,733
35,329,733,733,733
36,1378,1898,1898,733
37,2111,2111,2111,1443
38,2111,2111,2111,1443
39,14,837,1236,837
40,1250,733,1213,733
41,2111,2111,2111,2111
42,1739,733,733,733
43,2111,2111,2111,2111
44,1479,562,562,562
45,1784,733,733,733
46,2111,2111,2111,2111
47,732,1227,1227,1227
48,1755,1457,1688,1457
49,1361,101,1344,632
50,2120,2120,1265,2120
1,1250,1684,1684,1684
2,1491,1491,1491,244
3,1361,101,1344,632
4,1479,1591,1591,1591
5,1227,1227,1227,1227
6,1262,1835,1835,1835
7,1491,1172,900,837
8,1603,378,1472,1616
9,1504,733,733,733
10,1888,1756,1756,733
11,1262,1835,1835,1835
12,2113,1436,1436,1436
13,1227,733,1466,733
14,1544,539,539,539
15,1491,1466,899,1466
16,1262,1835,1835,1835
17,1361,341,356,341
18,1487,1410,1410,1410
19,1262,1835,1835,1835
20,2120,2120,762,2120
21,1107,1060,1322,1035
22,1603,1788,1788,1788
23,1802,2167,1391,2159
24,449,733,733,733
25,2080,1233,1216,1233
26,80,238,238,639
27,1784,1172,1471,1172
28,1725,1719,1719,1500
29,1039,1936,1497,733
30,1262,1835,1835,1835
31,1361,379,911,379
32,1525,1936,749,1936
33,1262,1835,1835,1835
34,764,754,754,754
35,1215,733,2134,733
36,1603,919,919,919
37,988,306,1737,733
38,1262,1835,1835,1835
39,1378,903,1671,733
40,226,733,733,733
41,1748,1444,1651,883
42,1262,1835,1835,1835
43,711,1867,1867,1867
44,1784,733,733,733
45,1250,733,1213,733
46,1725,733,733,733
47,2178,733,733,733
48,993,2001,2001,2001
49,1262,1835,1835,1835
50,1525,1936,730,1936
1,1491,1172,900,837
2,1250,1684,1684,1684
3,1361,101,1344,632
4,1603,378,1472,1616
5,1479,1591,1591,1591
6,1491,1466,899,1466
7,1491,1491,1491,244
8,1802,2167,1391,2167
9,1262,1835,1835,1835
10,1227,1227,1227,1227
11,1544,539,539,539
12,1107,1060,1322,1035
13,1250,1684,1684,1684
14,1603,1645,1769,919
15,1262,1835,1835,1835
16,1096,1935,1935,733
17,2113,1436,1436,1436
18,1603,1031,1646,1534
19,1603,1788,1788,1788
20,1888,1756,1756,733
21,884,1740,1740,1033
22,1262,1835,1835,1835
23,711,1867,1867,1867
24,1262,1835,1835,1835
25,1227,733,1466,733
26,80,238,238,639
27,1039,1936,1497,733
28,1525,1936,730,1936
29,449,733,733,733
30,1504,733,733,733
31,1725,1719,1719,1500
32,1487,1410,1410,1410
33,1361,341,356,341
34,2080,1233,1216,1233
35,711,711,358,711
36,1262,1835,1835,1835
37,821,1632,1632,821
38,1802,1624,900,733
39,1748,1444,1651,883
40,2120,2120,762,2120
41,1802,2167,1391,1624
42,1603,532,104,919
43,1603,955,955,919
44,764,754,754,754
45,1802,770,1391,770
46,1603,919,919,919
47,1361,379,911,379
48,1262,1835,1835,1835
49,1378,733,733,733
1,1491,1172,900,837
2,1096,1935,1935,733
3,1096,814,760,733
4,1250,1684,1684,1684
5,1361,101,1344,632
6,1964,837,1998,837
7,1250,1684,1684,1684
8,1479,1591,1591,1591
9,1603,378,1472,1616
10,1802,2167,1391,2167
11,1603,1645,1769,919
12,1262,1835,1835,1835
13,1227,1227,1227,1227
14,1544,539,539,539
15,1107,1060,1322,1035
16,1491,1491,1491,244
17,1491,1466,899,1466
18,1603,1031,1646,1534
19,1262,1835,1835,1835
20,2113,1436,1436,1436
21,1096,814,760,733
22,884,1740,1740,1033
23,1262,1835,1835,1835
24,1039,1936,1497,733
25,1096,916,916,733
26,1262,1835,1835,1835
27,2098,733,733,733
28,1227,733,1466,733
29,80,238,238,639
30,1888,1756,1756,733
31,1096,814,760,733
32,449,733,733,733
33,2080,1233,1216,1233
34,1096,814,760,733
35,2093,1936,1497,1936
36,78,733,733,733
37,1262,1835,1835,1835
38,821,1632,1632,821
39,18,1227,1227,1227
40,1330,1792,1860,1860
41,1096,814,760,733
42,1096,814,760,733
43,1603,1788,1788,1788
44,1525,1936,730,1936
45,1096,733,733,733
46,1739,1739,1739,733
47,1185,1808,1669,1339
48,1504,733,733,733
1,1096,814,760,733
2,1491,1172,900,837
3,1096,916,916,733
4,2192,733,733,733
5,1096,814,760,733
6,1964,837,1998,837
7,1361,101,1344,632
8,1250,1684,1684,1684
9,1888,1675,1660,1942
10,1096,1935,1935,733
11,1479,1591,1591,1591
12,1096,814,760,733
13,1802,2167,1391,2167
14,2120,2120,2016,2120
15,1250,1684,1684,1684
16,1096,814,760,733
17,1603,378,1472,1616
18,1544,539,539,539
19,1262,1835,1835,1835
20,1227,1227,1227,1227
21,78,733,733,733
22,1107,1060,1322,1035
23,1508,1463,1651,733
24,1096,814,760,733
25,2103,1591,1591,1591
26,1491,1491,1491,244
27,939,2165,2161,2165
28,1096,814,760,733
29,80,238,238,508
30,1262,1835,1835,1835
31,2098,733,733,733
32,1096,733,733,733
33,2113,1436,1436,1436
34,1603,1645,1769,919
35,1096,190,760,733
36,1491,1466,899,1466
37,1039,1936,1497,733
38,1096,1681,1681,733
39,1262,1835,1835,1835
40,449,733,733,733
41,884,1740,1740,1033
42,1198,1252,1907,1944
43,80,238,238,639
44,80,154,238,154
45,1604,1227,1227,1227
46,1262,1835,1835,1835
47,1475,497,497,733
48,80,238,238,2174
1,80,238,238,508
2,1604,1227,1227,1227
3,80,154,238,154
4,2192,733,733,733
5,80,238,238,2174
6,80,639,238,639
7,1546,733,733,733
8,80,100,238,100
9,1361,101,1344,632
10,1250,1684,1684,1684
11,1604,2175,2175,1744
12,1491,1172,900,837
13,1479,1591,1591,1591
14,1257,1257,1257,1257
15,1964,837,1998,837
16,2120,2120,2016,2120
17,1262,1835,1835,1835
18,1802,2167,1391,2167
19,1250,1684,1684,1684
20,1546,733,733,733
