rank,°¡¼ö
19,1551
20,2008
21,353
22,22
23,118
24,1734
25,1248
26,1198
27,141
28,729
29,2141
30,1904
31,1523
32,1130
33,188
34,456
35,1622
36,1254
37,554
38,1305
39,1254
40,1254
41,295
42,1248
43,1254
44,1904
45,554
46,1523
47,1254
48,518
49,1248
50,269
1,1298
2,554
3,295
4,1585
5,1248
6,667
7,1551
8,22
9,1019
10,1248
11,1340
12,1254
13,110
14,188
15,880
16,1904
17,1248
18,704
19,2008
20,1551
21,518
22,1974
23,265
24,1248
25,118
26,1734
27,353
28,1254
29,1254
30,1198
31,554
32,729
33,456
34,2141
35,141
36,1130
37,1523
38,1254
39,554
40,1904
41,1622
42,1248
43,1248
44,1146
45,1411
46,1305
47,1523
48,295
49,1536
50,719
1,1536
2,1536
3,1536
4,1298
5,554
6,1536
7,295
8,526
10,1585
11,1402
12,1536
13,1248
14,473
15,1019
16,22
17,1551
18,1340
19,110
20,667
21,880
22,1248
23,188
24,2008
25,719
26,1904
27,265
28,1254
29,526
30,1551
31,1734
32,118
33,456
34,518
35,1974
36,1248
37,729
38,1130
39,353
40,1523
41,704
42,1243
43,554
44,1198
45,1248
46,141
47,1904
48,304
49,1523
50,1265
1,1536
2,37
3,1298
4,1536
5,554
6,295
7,1585
8,1536
9,965
10,1402
11,136
12,37
13,526
14,1536
15,2041
17,2141
18,1019
19,22
20,1536
21,1248
22,1402
23,37
24,473
25,110
26,1340
27,37
28,85
29,1248
30,1402
31,2008
32,880
33,37
34,369
35,188
36,667
37,727
38,37
39,37
40,1904
41,719
42,456
43,304
44,1551
45,524
46,1523
47,1734
48,729
49,118
1,1536
2,37
3,1536
4,1536
5,295
6,1298
7,2141
8,1402
9,2223
10,1585
11,269
12,554
13,22
14,1904
15,1536
17,1248
18,1019
19,357
20,526
21,1402
22,1536
23,118
24,1507
25,965
26,136
27,844
28,704
29,85
30,37
31,1904
32,1248
33,37
34,110
35,473
36,1447
37,1340
38,188
39,1402
40,85
41,932
42,1523
43,719
44,582
45,1350
46,1441
47,1523
48,1345
49,263
50,524
1,1536
2,37
3,369
4,1536
5,1536
6,1254
7,295
8,1402
9,1585
10,1298
11,2141
12,386
13,2223
14,22
15,357
16,554
17,1019
18,269
19,1248
20,1536
21,1402
23,1536
24,526
25,1666
26,118
27,136
28,844
29,1904
30,1904
31,1248
32,1340
33,37
34,965
35,473
36,188
37,1781
38,727
39,1523
40,85
41,932
42,110
43,31
45,1523
46,1208
47,20
48,37
49,1690
1,1536
2,1291
3,369
4,37
5,1430
6,1340
7,1536
8,295
9,1536
10,1402
11,1585
12,1298
13,704
14,1254
15,2141
16,22
17,357
18,2223
19,1254
20,1666
21,554
22,1019
23,1248
24,269
25,386
26,330
27,85
28,1402
30,1904
31,844
32,526
33,289
34,1291
36,1618
37,1340
38,118
39,37
40,1536
41,1536
42,1817
43,136
44,1248
45,1523
46,917
47,831
48,1904
49,386
50,1291
1,293
2,1340
3,1291
4,1536
5,37
6,1536
7,1402
8,369
9,720
10,1536
11,295
13,1585
14,1430
15,1298
16,22
17,2141
18,1254
19,2223
20,357
21,1715
22,1248
23,330
24,1019
25,554
26,704
27,1666
28,85
29,831
30,1402
31,1618
32,1904
33,1254
35,269
36,386
37,1265
38,844
39,911
40,1340
41,1248
42,1523
43,1817
45,1239
46,614
47,727
48,526
49,392
50,582
2,293
3,270
4,1536
5,1340
6,1238
7,1291
8,1705
9,554
10,720
11,1536
12,37
13,1715
14,1402
15,2018
16,1536
17,295
18,844
19,1238
20,369
21,1585
22,1298
23,1232
24,1319
25,22
26,911
27,2141
28,1430
29,785
30,1254
31,2223
32,12
33,831
34,1248
35,330
36,1265
37,357
38,165
39,984
40,1019
42,489
43,1175
44,1402
45,141
46,554
47,1014
48,85
49,1397
50,1666
1,293
2,1234
4,270
5,1238
6,1254
7,1705
8,554
9,1536
10,573
11,40
12,1340
13,1291
14,2053
15,2018
16,573
17,216
18,573
19,984
20,1536
21,12
22,573
23,573
24,1238
25,1536
26,37
27,1402
28,657
29,295
30,1234
31,720
32,1232
33,141
34,1298
35,844
36,1714
37,1585
38,1234
39,1715
40,22
41,1340
42,369
43,2141
44,330
45,1319
46,1248
48,1254
49,1234
50,831
