NaN,가수,작사,작곡,편곡
19,iKON,B.I,B.I,MILLENNIUM
20,Wanna One,iHwak,iHwak,로열다이브
21,SHINee ,서지음,Hyuk?Shin,Ross Lara
22,SHINee ,키,최진석,최진석
23,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
24,SHINee ,Kenzie,델리보이,델리보이
25,닐로,닐로,닐로,리베 피아노
26,로꼬,로꼬,WOOGIE,WOOGIE
27,종현 ,13,종현 ,NaN
28,SHINee ,Brian Kim,The Stereotypes,The Stereotypes
29,SHINee ,조윤경,Andrew?Choi,디즈
30,Wanna One - 트리플포지션,지코,지코,지코
31,SHINee ,황유빈,G’harah?“PK”?Degeddingseze?of?80hdmuzic,Jamie Jones
32,SHINee ,황유빈,WayBetta,WayBetta
33,SHINee ,구태우,Gannin Arnold,Gannin Arnold
34,SHINee ,조윤경,Hyuk?Shin,Hyuk?Shin
35,멜로망스,신영웅,신영웅,동환
36,TWICE,박진영,박진영,이우민 'Collapsedone'
37,SHINee ,서지음,디즈,Jel
38,SHINee ,조윤경,Andreas Oberg,Andreas Oberg
39,SHINee ,Blue Bus,Blue Bus,Blue Bus
40,방탄소년단,Steve Aoki,Steve Aoki,NaN
41,방탄소년단,방시혁,Pdogg,NaN
42,폴킴,어깨깡패,어깨깡패,어깨깡패
43,Wanna One,로이도,Wonderkid,Shaun Kim
44,마마무,김도훈,김도훈,김도훈
45,비투비,임현식,임현식,임현식
46,용준형,용준형,Good Life,김태주
47,방탄소년단,Pdogg,Pdogg,NaN
48,비투비,정일훈,정일훈,VINCENZO
49,Wanna One,우석,Flow Blow,Flow Blow
50,로이킴,강화성,NaN,NaN
1,뉴이스트 W,백호 ,BUMZU,BUMZU
2,뉴이스트 W,백호 ,BUMZU,BUMZU
3,BLACKPINK,TEDDY,TEDDY,TEDDY
4,뉴이스트 W,백호 ,BUMZU,Royal Dive
5,뉴이스트 W,백호 ,BUMZU,BUMZU
6,뉴이스트 W,백호 ,BUMZU,박기태 
7,뉴이스트,손주영,손주영,현재욱
8,뉴이스트 W,백호 ,BUMZU,Royal Dive
9,뉴이스트 W,JR ,BUMZU,Royal Dive
10,볼빨간사춘기,안지영,안지영,바닐라맨
11,비투비,임현식,임현식,임현식
12,BLACKPINK,TEDDY,TEDDY,TEDDY
13,방탄소년단,Pdogg,Pdogg,NaN
14,SHINee ,조윤경,Chaz Mishan,The Fliptones
15,여자친구,노주환,노주환,노주환
16,AOA,한성호,Erik Nyholm,Erik Nyholm
17,SHINee ,정주희,Mike Woods,Rice n' Peas
18,iKON,B.I,B.I,MILLENNIUM
19,에이핑크,블랙아이드필승,블랙아이드필승,Rado
20,SHINee ,SHINee ,Mike Woods,Rice n' Peas
21,닐로,닐로,닐로,리베 피아노
22,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
23,로꼬,로꼬,WOOGIE,WOOGIE
24,SHINee ,키,최진석,최진석
25,Wanna One,iHwak,iHwak,로열다이브
26,멜로망스,신영웅,신영웅,동환
27,TWICE,박진영,박진영,이우민 'Collapsedone'
28,폴킴,어깨깡패,어깨깡패,어깨깡패
29,SHINee ,서지음,Hyuk?Shin,Ross Lara
30,SHINee ,Kenzie,델리보이,델리보이
31,종현 ,13,종현 ,NaN
32,SHINee ,Brian Kim,The Stereotypes,The Stereotypes
33,방탄소년단,방시혁,Pdogg,NaN
34,SHINee ,구태우,Gannin Arnold,Gannin Arnold
35,마마무,김도훈,김도훈,김도훈
36,방탄소년단,Steve Aoki,Steve Aoki,NaN
37,SHINee ,조윤경,Hyuk?Shin,Hyuk?Shin
38,Wanna One - 트리플포지션,지코,지코,지코
39,SHINee ,조윤경,Andreas Oberg,Andreas Oberg
40,SHINee ,Blue Bus,Blue Bus,Blue Bus
41,SHINee ,조윤경,Andrew?Choi,디즈
42,비투비,임현식,임현식,임현식
43,SHINee ,황유빈,WayBetta,WayBetta
44,용준형,용준형,Good Life,김태주
45,SHINee ,서지음,디즈,Jel
46,SHINee ,황유빈,G’harah?“PK”?Degeddingseze?of?80hdmuzic,Jamie Jones
47,방탄소년단,Pdogg,Pdogg,NaN
48,청하,블랙아이드필승,블랙아이드필승,Rado
49,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
50,Wanna One,로이도,Wonderkid,Shaun Kim
1,뉴이스트 W,백호 ,BUMZU,BUMZU
2,뉴이스트 W,백호 ,BUMZU,BUMZU
3,BLACKPINK,TEDDY,TEDDY,TEDDY
4,뉴이스트 W,백호 ,BUMZU,Royal Dive
5,뉴이스트 W,백호 ,BUMZU,BUMZU
6,뉴이스트 W,백호 ,BUMZU,박기태 
7,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
8,뉴이스트,손주영,손주영,현재욱
9,뉴이스트 W,백호 ,BUMZU,Royal Dive
10,뉴이스트 W,JR ,BUMZU,Royal Dive
11,볼빨간사춘기,안지영,안지영,바닐라맨
12,에이핑크,블랙아이드필승,블랙아이드필승,Rado
13,BLACKPINK,TEDDY,TEDDY,TEDDY
14,방탄소년단,Pdogg,Pdogg,NaN
15,비투비,임현식,임현식,임현식
16,여자친구,노주환,노주환,노주환
17,iKON,B.I,B.I,MILLENNIUM
18,SHINee ,조윤경,Chaz Mishan,The Fliptones
19,AOA,한성호,Erik Nyholm,Erik Nyholm
20,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
21,닐로,닐로,닐로,리베 피아노
22,폴킴,어깨깡패,어깨깡패,어깨깡패
23,TWICE,박진영,박진영,이우민 'Collapsedone'
24,SHINee ,정주희,Mike Woods,Rice n' Peas
25,SHINee ,SHINee ,Mike Woods,Rice n' Peas
26,로꼬,로꼬,WOOGIE,WOOGIE
27,멜로망스,신영웅,신영웅,동환
28,방탄소년단,방시혁,Pdogg,NaN
29,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
30,마마무,김도훈,김도훈,김도훈
31,방탄소년단,Steve Aoki,Steve Aoki,NaN
32,SHINee ,키,최진석,최진석
33,Wanna One,iHwak,iHwak,로열다이브
34,방탄소년단,Pdogg,Pdogg,NaN
35,용준형,용준형,Good Life,김태주
36,SHINee ,구태우,Gannin Arnold,Gannin Arnold
37,종현 ,13,종현 ,NaN
38,SHINee ,서지음,Hyuk?Shin,Ross Lara
39,청하,블랙아이드필승,블랙아이드필승,Rado
40,SHINee ,Kenzie,델리보이,델리보이
41,비투비,임현식,임현식,임현식
42,SHINee ,Brian Kim,The Stereotypes,The Stereotypes
43,로이킴,강화성,NaN,NaN
44,Ed Sheeran,NaN,NaN,NaN
45,SHINee ,조윤경,Hyuk?Shin,Hyuk?Shin
46,Camila Cabello,NaN,NaN,NaN
47,Wanna One - 트리플포지션,지코,지코,지코
48,멜로망스,김민석,멜로망스,동환
49,멜로망스,김민석,멜로망스,동환
50,SHINee ,조윤경,Andreas Oberg,Andreas Oberg
1,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
2,뉴이스트 W,백호 ,BUMZU,BUMZU
3,뉴이스트 W,백호 ,BUMZU,BUMZU
4,BLACKPINK,TEDDY,TEDDY,TEDDY
5,뉴이스트 W,백호 ,BUMZU,Royal Dive
6,뉴이스트 W,백호 ,BUMZU,BUMZU
7,뉴이스트 W,백호 ,BUMZU,박기태 
8,뉴이스트,손주영,손주영,현재욱
9,뉴이스트 W,백호 ,BUMZU,Royal Dive
10,뉴이스트 W,JR ,BUMZU,Royal Dive
11,볼빨간사춘기,안지영,안지영,바닐라맨
12,숀,이지혜,숀,숀
13,에이핑크,블랙아이드필승,블랙아이드필승,Rado
14,BLACKPINK,TEDDY,TEDDY,TEDDY
15,마마무,김도훈,김도훈,김도훈
16,방탄소년단,Pdogg,Pdogg,NaN
17,비투비,임현식,임현식,임현식
18,여자친구,노주환,노주환,노주환
19,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
20,iKON,B.I,B.I,MILLENNIUM
21,세븐틴,WOOZI,WOOZI,BUMZU
22,AOA,한성호,Erik Nyholm,Erik Nyholm
23,SHINee ,조윤경,Chaz Mishan,The Fliptones
24,닐로,닐로,닐로,리베 피아노
25,폴킴,어깨깡패,어깨깡패,어깨깡패
26,청하,이기,이기,이기
27,TWICE,박진영,박진영,이우민 'Collapsedone'
28,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
29,마마무,김도훈,김도훈,김도훈
30,로꼬,로꼬,WOOGIE,WOOGIE
31,SHINee ,정주희,Mike Woods,Rice n' Peas
32,멜로망스,신영웅,신영웅,동환
33,방탄소년단,방시혁,Pdogg,NaN
34,SHINee ,SHINee ,Mike Woods,Rice n' Peas
35,청하,블랙아이드필승,블랙아이드필승,Rado
36,크러쉬,Crush,Crush,Stay Tuned
37,여자친구,이단옆차기,이단옆차기,이단옆차기
38,용준형,용준형,Good Life,김태주
39,방탄소년단,Steve Aoki,Steve Aoki,NaN
40,Wanna One,iHwak,iHwak,로열다이브
41,방탄소년단,Pdogg,Pdogg,NaN
42,로이킴,강화성,NaN,NaN
43,Ed Sheeran,NaN,NaN,NaN
44,Camila Cabello,NaN,NaN,NaN
45,멜로망스,김민석,멜로망스,동환
46,아이들,소연아이들,소연아이들,빅싼초
47,SHINee ,키,최진석,최진석
48,종현 ,13,종현 ,NaN
49,멜로망스,김민석,멜로망스,동환
50,SHINee ,구태우,Gannin Arnold,Gannin Arnold
1,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
2,숀,이지혜,숀,숀
3,뉴이스트 W,백호 ,BUMZU,BUMZU
4,BLACKPINK,TEDDY,TEDDY,TEDDY
5,뉴이스트 W,백호 ,BUMZU,BUMZU
6,뉴이스트 W,백호 ,BUMZU,Royal Dive
7,뉴이스트 W,백호 ,BUMZU,BUMZU
8,뉴이스트,손주영,손주영,현재욱
9,뉴이스트 W,백호 ,BUMZU,박기태 
10,뉴이스트 W,백호 ,BUMZU,Royal Dive
11,뉴이스트 W,JR ,BUMZU,Royal Dive
12,볼빨간사춘기,안지영,안지영,바닐라맨
13,에이핑크,블랙아이드필승,블랙아이드필승,Rado
14,마마무,김도훈,김도훈,김도훈
15,BLACKPINK,TEDDY,TEDDY,TEDDY
16,청하,이기,이기,이기
17,여자친구,이단옆차기,이단옆차기,이단옆차기
18,방탄소년단,Pdogg,Pdogg,NaN
19,iKON,B.I,B.I,MILLENNIUM
20,여자친구,노주환,노주환,노주환
21,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
22,폴킴,어깨깡패,어깨깡패,어깨깡패
23,비투비,임현식,임현식,임현식
24,닐로,닐로,닐로,리베 피아노
25,AOA,한성호,Erik Nyholm,Erik Nyholm
26,세븐틴,WOOZI,WOOZI,BUMZU
27,TWICE,박진영,박진영,이우민 'Collapsedone'
28,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
29,마마무,김도훈,김도훈,김도훈
30,SHINee ,조윤경,Chaz Mishan,The Fliptones
31,로꼬,로꼬,WOOGIE,WOOGIE
32,멜로망스,신영웅,신영웅,동환
33,승리,TEDDY,TEDDY,24
34,청하,블랙아이드필승,블랙아이드필승,Rado
35,방탄소년단,방시혁,Pdogg,NaN
36,방탄소년단,Steve Aoki,Steve Aoki,NaN
37,용준형,용준형,Good Life,김태주
38,크러쉬,Crush,Crush,Stay Tuned
39,로이킴,강화성,NaN,NaN
40,SHINee ,정주희,Mike Woods,Rice n' Peas
41,멜로망스,김민석,멜로망스,동환
42,Camila Cabello,NaN,NaN,NaN
43,멜로망스,김민석,멜로망스,동환
44,Wanna One,iHwak,iHwak,로열다이브
45,SHINee ,SHINee ,Mike Woods,Rice n' Peas
46,방탄소년단,Pdogg,Pdogg,NaN
47,Fitz and The Tantrums,NaN,NaN,NaN
48,Ed Sheeran,NaN,NaN,NaN
49,아이들,소연아이들,소연아이들,빅싼초
50,Red Velvet ,Kenzie,Ludwig Lindell,Caesar & Loui
1,숀,이지혜,숀,숀
2,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
3,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
4,BLACKPINK,TEDDY,TEDDY,TEDDY
5,뉴이스트 W,백호 ,BUMZU,BUMZU
6,지코,지코,지코,지코
7,뉴이스트 W,백호 ,BUMZU,BUMZU
8,마마무,김도훈,김도훈,김도훈
9,뉴이스트 W,백호 ,BUMZU,Royal Dive
10,뉴이스트,손주영,손주영,현재욱
11,뉴이스트 W,백호 ,BUMZU,BUMZU
12,에이핑크,블랙아이드필승,블랙아이드필승,Rado
13,볼빨간사춘기,안지영,안지영,바닐라맨
14,뉴이스트 W,백호 ,BUMZU,박기태 
15,뉴이스트 W,백호 ,BUMZU,Royal Dive
16,뉴이스트 W,JR ,BUMZU,Royal Dive
17,BLACKPINK,TEDDY,TEDDY,TEDDY
18,여자친구,이단옆차기,이단옆차기,이단옆차기
19,폴킴,어깨깡패,어깨깡패,어깨깡패
20,iKON,B.I,B.I,MILLENNIUM
21,청하,이기,이기,이기
22,방탄소년단,Pdogg,Pdogg,NaN
23,닐로,닐로,닐로,리베 피아노
24,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
25,승리,TEDDY,TEDDY,24
26,여자친구,노주환,노주환,노주환
27,비투비,임현식,임현식,임현식
28,AOA,한성호,Erik Nyholm,Erik Nyholm
29,iKON,B.I,B.I,R.Tee
30,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
31,마마무,김도훈,김도훈,김도훈
32,TWICE,박진영,박진영,이우민 'Collapsedone'
33,세븐틴,WOOZI,WOOZI,BUMZU
34,로꼬,로꼬,WOOGIE,WOOGIE
35,멜로망스,신영웅,신영웅,동환
36,방탄소년단,Steve Aoki,Steve Aoki,NaN
37,멜로망스,김민석,멜로망스,동환
38,정세운,정세운,동환,동환
39,청하,블랙아이드필승,블랙아이드필승,Rado
40,로이킴,강화성,NaN,NaN
41,방탄소년단,방시혁,Pdogg,NaN
42,Red Velvet ,Kenzie,Ludwig Lindell,Caesar & Loui
43,용준형,용준형,Good Life,김태주
44,크러쉬,Crush,Crush,Stay Tuned
45,Camila Cabello,NaN,NaN,NaN
46,멜로망스,김민석,멜로망스,동환
47,Fitz and The Tantrums,NaN,NaN,NaN
48,멜로망스,남혜승,남혜승,동환
49,Ed Sheeran,NaN,NaN,NaN
50,방탄소년단,Pdogg,Pdogg,NaN
1,숀,이지혜,숀,숀
2,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
3,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
4,뉴이스트 W,백호 ,BUMZU,BUMZU
5,BLACKPINK,TEDDY,TEDDY,TEDDY
6,뉴이스트 W,백호 ,BUMZU,BUMZU
7,뉴이스트 W,백호 ,BUMZU,Royal Dive
8,마마무,김도훈,김도훈,김도훈
9,지코,지코,지코,지코
10,뉴이스트,손주영,손주영,현재욱
11,뉴이스트 W,백호 ,BUMZU,BUMZU
12,뉴이스트 W,백호 ,BUMZU,박기태 
13,볼빨간사춘기,안지영,안지영,바닐라맨
14,뉴이스트 W,백호 ,BUMZU,Royal Dive
15,뉴이스트 W,JR ,BUMZU,Royal Dive
16,에이핑크,블랙아이드필승,블랙아이드필승,Rado
17,폴킴,어깨깡패,어깨깡패,어깨깡패
18,BLACKPINK,TEDDY,TEDDY,TEDDY
19,여자친구,이단옆차기,이단옆차기,이단옆차기
20,iKON,B.I,B.I,MILLENNIUM
21,방탄소년단,Pdogg,Pdogg,NaN
22,청하,이기,이기,이기
23,닐로,닐로,닐로,리베 피아노
24,승리,TEDDY,TEDDY,24
25,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
26,여자친구,노주환,노주환,노주환
27,비투비,임현식,임현식,임현식
28,마마무,김도훈,김도훈,김도훈
29,AOA,한성호,Erik Nyholm,Erik Nyholm
30,정세운,정세운,동환,동환
31,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
32,TWICE,박진영,박진영,이우민 'Collapsedone'
33,멜로망스,신영웅,신영웅,동환
34,로꼬,로꼬,WOOGIE,WOOGIE
35,방탄소년단,Steve Aoki,Steve Aoki,NaN
36,iKON,B.I,B.I,R.Tee
37,세븐틴,WOOZI,WOOZI,BUMZU
38,세븐틴,BUMZU,BUMZU,BOOMBASTIC
39,로이킴,강화성,NaN,NaN
40,청하,블랙아이드필승,블랙아이드필승,Rado
41,멜로망스,김민석,멜로망스,동환
42,Camila Cabello,NaN,NaN,NaN
43,방탄소년단,방시혁,Pdogg,NaN
44,멜로망스,김민석,멜로망스,동환
45,Red Velvet ,Kenzie,Ludwig Lindell,Caesar & Loui
46,Fitz and The Tantrums,NaN,NaN,NaN
47,용준형,용준형,Good Life,김태주
48,Ed Sheeran,NaN,NaN,NaN
49,아이들,소연아이들,소연아이들,빅싼초
50,방탄소년단,Pdogg,Pdogg,NaN
1,숀,이지혜,숀,숀
2,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
3,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
4,뉴이스트 W,백호 ,BUMZU,BUMZU
5,BLACKPINK,TEDDY,TEDDY,TEDDY
6,뉴이스트 W,백호 ,BUMZU,BUMZU
7,뉴이스트 W,백호 ,BUMZU,Royal Dive
8,뉴이스트,손주영,손주영,현재욱
9,마마무,김도훈,김도훈,김도훈
10,뉴이스트 W,백호 ,BUMZU,BUMZU
11,뉴이스트 W,백호 ,BUMZU,박기태 
12,뉴이스트 W,백호 ,BUMZU,Royal Dive
13,뉴이스트 W,JR ,BUMZU,Royal Dive
14,지코,지코,지코,지코
15,볼빨간사춘기,안지영,안지영,바닐라맨
16,에이핑크,블랙아이드필승,블랙아이드필승,Rado
17,폴킴,어깨깡패,어깨깡패,어깨깡패
18,방탄소년단,Pdogg,Pdogg,NaN
19,BLACKPINK,TEDDY,TEDDY,TEDDY
20,방탄소년단,Pdogg,Pdogg,NaN
21,닐로,닐로,닐로,리베 피아노
22,iKON,B.I,B.I,MILLENNIUM
23,여자친구,이단옆차기,이단옆차기,이단옆차기
24,승리,TEDDY,TEDDY,24
25,국.슈 ,13,13,13
26,청하,이기,이기,이기
27,아이들,소연아이들,소연아이들,빅싼초
28,비투비,임현식,임현식,임현식
29,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
30,멜로망스,신영웅,신영웅,동환
31,여자친구,노주환,노주환,노주환
32,정세운,정세운,동환,동환
33,마마무,김도훈,김도훈,김도훈
34,방탄소년단,Steve Aoki,Steve Aoki,NaN
35,로꼬,로꼬,WOOGIE,WOOGIE
36,방탄소년단,Jordan?“DJ?Swivel”?Young,Jordan?“DJ?Swivel”?Young,NaN
37,로이킴,강화성,NaN,NaN
38,TWICE,박진영,박진영,이우민 'Collapsedone'
39,AOA,한성호,Erik Nyholm,Erik Nyholm
40,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
41,iKON,B.I,B.I,R.Tee
42,멜로망스,김민석,멜로망스,동환
43,기억 조작단,이상호,이상호,이상호
44,Camila Cabello,NaN,NaN,NaN
45,청하,블랙아이드필승,블랙아이드필승,Rado
46,방탄소년단,방시혁,Pdogg,NaN
47,벤,VIP,VIP,VIP
48,멜로망스,김민석,멜로망스,동환
49,방탄소년단,Pdogg,Pdogg,NaN
50,용준형,용준형,Good Life,김태주
1,숀,이지혜,숀,숀
2,방탄소년단,Pdogg,Pdogg,NaN
3,뉴이스트 W,백호 ,BUMZU,BUMZU
4,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
5,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
6,뉴이스트 W,백호 ,BUMZU,BUMZU
7,BLACKPINK,TEDDY,TEDDY,TEDDY
8,뉴이스트 W,백호 ,BUMZU,Royal Dive
9,뉴이스트 W,텐조,텐조,LOOGONE
10,뉴이스트 W,백호 ,BUMZU,BUMZU
11,뉴이스트 W,백호 ,BUMZU,박기태 
12,뉴이스트 W,백호 ,BUMZU,Royal Dive
13,마마무,김도훈,김도훈,김도훈
14,뉴이스트,손주영,손주영,현재욱
15,볼빨간사춘기,안지영,안지영,바닐라맨
16,폴킴,어깨깡패,어깨깡패,어깨깡패
17,뉴이스트 W,JR ,BUMZU,Royal Dive
18,지코,지코,지코,지코
19,방탄소년단,Jordan?“DJ?Swivel”?Young,Jordan?“DJ?Swivel”?Young,NaN
20,방탄소년단,Pdogg,Pdogg,NaN
21,에이핑크,블랙아이드필승,블랙아이드필승,Rado
22,방탄소년단,Pdogg,Pdogg,NaN
23,닐로,닐로,닐로,리베 피아노
24,BLACKPINK,TEDDY,TEDDY,TEDDY
25,방탄소년단,Pdogg,Pdogg,NaN
26,아이들,소연아이들,소연아이들,빅싼초
27,iKON,B.I,B.I,MILLENNIUM
28,승리,TEDDY,TEDDY,24
29,여자친구,이단옆차기,이단옆차기,이단옆차기
30,멜로망스,신영웅,신영웅,동환
31,방탄소년단,Slow Rabbit,Slow Rabbit,NaN
32,벤,VIP,VIP,VIP
33,방탄소년단,Steve Aoki,Steve Aoki,NaN
34,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
35,방탄소년단,Slow Rabbit,Slow Rabbit,NaN
36,로이킴,강화성,NaN,NaN
37,비투비,임현식,임현식,임현식
38,청하,이기,이기,이기
39,방탄소년단,Hiss?noise,Hiss?noise,NaN
40,여자친구,노주환,노주환,노주환
41,마마무,김도훈,김도훈,김도훈
42,로꼬,로꼬,WOOGIE,WOOGIE
43,방탄소년단,Slow Rabbit,Slow Rabbit,NaN
44,국.슈 ,13,13,13
45,AOA,한성호,Erik Nyholm,Erik Nyholm
46,TWICE,박진영,박진영,이우민 'Collapsedone'
47,아이유,아이유,제휘,제휘
48,용준형,용준형,Good Life,김태주
49,방탄소년단,방시혁,Pdogg,NaN
50,Camila Cabello,NaN,NaN,NaN
1,숀,이지혜,숀,숀
2,선미,선미,선미,FRANTS
3,방탄소년단,Pdogg,Pdogg,NaN
4,뉴이스트 W,백호 ,BUMZU,BUMZU
5,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
6,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
7,BLACKPINK,TEDDY,TEDDY,TEDDY
8,뉴이스트 W,백호 ,BUMZU,BUMZU
9,뉴이스트 W,텐조,텐조,LOOGONE
10,뉴이스트 W,백호 ,BUMZU,Royal Dive
11,폴킴,어깨깡패,어깨깡패,어깨깡패
12,뉴이스트 W,백호 ,BUMZU,BUMZU
13,뉴이스트 W,백호 ,BUMZU,Royal Dive
14,뉴이스트 W,백호 ,BUMZU,박기태 
15,마마무,김도훈,김도훈,김도훈
16,볼빨간사춘기,안지영,안지영,바닐라맨
17,뉴이스트,손주영,손주영,현재욱
18,뉴이스트 W,JR ,BUMZU,Royal Dive
19,소녀시대-Oh!GG,ODAL?PARK,Lance Shipp,LIONCHLD
20,방탄소년단,Pdogg,Pdogg,NaN
21,지코,지코,지코,지코
22,에이핑크,블랙아이드필승,블랙아이드필승,Rado
23,벤,VIP,VIP,VIP
24,닐로,닐로,닐로,리베 피아노
25,방탄소년단,Pdogg,Pdogg,NaN
26,방탄소년단,Jordan?“DJ?Swivel”?Young,Jordan?“DJ?Swivel”?Young,NaN
27,아이들,소연아이들,소연아이들,빅싼초
28,iKON,B.I,B.I,MILLENNIUM
29,남우현,남우현,남우현,J. Yoon
30,승리,TEDDY,TEDDY,24
31,BLACKPINK,TEDDY,TEDDY,TEDDY
32,방탄소년단,Pdogg,Pdogg,NaN
33,멜로망스,신영웅,신영웅,동환
34,방탄소년단,Steve Aoki,Steve Aoki,NaN
35,로이킴,강화성,NaN,NaN
36,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
37,청하,이기,이기,이기
38,여자친구,이단옆차기,이단옆차기,이단옆차기
39,비투비,임현식,임현식,임현식
40,방탄소년단,Slow Rabbit,Slow Rabbit,NaN
41,마마무,김도훈,김도훈,김도훈
42,로꼬,로꼬,WOOGIE,WOOGIE
43,여자친구,노주환,노주환,노주환
44,방탄소년단,Slow Rabbit,Slow Rabbit,NaN
45,아이유,아이유,제휘,제휘
46,Camila Cabello,NaN,NaN,NaN
47,방탄소년단,방시혁,Pdogg,NaN
48,방탄소년단,Hiss?noise,Hiss?noise,NaN
49,멜로망스,김민석,멜로망스,동환
50,Fitz and The Tantrums,NaN,NaN,NaN
1,숀,이지혜,숀,숀
2,선미,선미,선미,FRANTS
3,뉴이스트 W,백호 ,BUMZU,BUMZU
4,TWICE,휘성,Anne Judith Stokke Wik,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
5,방탄소년단,Pdogg,Pdogg,NaN
6,BLACKPINK,TEDDY,TEDDY,TEDDY
7,Red Velvet ,Kenzie,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine,Jonatan?Gusmark?&?Ludvig?Evers?a.k.a?Moonshine
8,뉴이스트 W,백호 ,BUMZU,BUMZU
9,폴킴,어깨깡패,어깨깡패,어깨깡패
10,뉴이스트 W,백호 ,BUMZU,Royal Dive
11,뉴이스트 W,백호 ,BUMZU,BUMZU
12,뉴이스트 W,텐조,텐조,LOOGONE
13,뉴이스트 W,백호 ,BUMZU,Royal Dive
14,뉴이스트 W,백호 ,BUMZU,박기태 
15,뉴이스트,손주영,손주영,현재욱
16,볼빨간사춘기,안지영,안지영,바닐라맨
17,마마무,김도훈,김도훈,김도훈
18,뉴이스트 W,JR ,BUMZU,Royal Dive
19,지코,지코,지코,지코
20,벤,VIP,VIP,VIP
21,에이핑크,블랙아이드필승,블랙아이드필승,Rado
22,닐로,닐로,닐로,리베 피아노
23,소녀시대-Oh!GG,ODAL?PARK,Lance Shipp,LIONCHLD
24,방탄소년단,Pdogg,Pdogg,NaN
25,iKON,B.I,B.I,MILLENNIUM
26,아이들,소연아이들,소연아이들,빅싼초
27,승리,TEDDY,TEDDY,24
28,방탄소년단,Pdogg,Pdogg,NaN
29,BLACKPINK,TEDDY,TEDDY,TEDDY
30,로이킴,강화성,NaN,NaN
31,SHINee ,전간디,Jamil 'Digi' Chammas,Jamil 'Digi' Chammas
32,멜로망스,신영웅,신영웅,동환
33,모모랜드,신사동 호랭이,신사동 호랭이,신사동 호랭이
34,방탄소년단,Steve Aoki,Steve Aoki,NaN
35,SHINee ,조윤경,Chaz Mishan,The Fliptones
36,청하,이기,이기,이기
37,남우현,남우현,남우현,J. Yoon
38,여자친구,이단옆차기,이단옆차기,이단옆차기
39,마마무,김도훈,김도훈,김도훈
40,방탄소년단,Jordan?“DJ?Swivel”?Young,Jordan?“DJ?Swivel”?Young,NaN
41,비투비,임현식,임현식,임현식
42,여자친구,노주환,노주환,노주환
43,아이유,아이유,제휘,제휘
44,로꼬,로꼬,WOOGIE,WOOGIE
45,SHINee ,정주희,Mike Woods,Rice n' Peas
46,멜로망스,남혜승,남혜승,동환
