NaN,가수,작사,작곡,편곡
8,SE7EN,NaN,NaN,NaN
9,투개월,이단옆차기,이단옆차기,Musthave
10,먼데이 키즈,한상원,한상원,한상원
11,에일리,휘성,이기,NaN
12,장재인,장재인,강현민,NaN
13,써니힐,김이나,이민수,이민수
14,윤건,김상현,윤건,윤건
15,미료,NaN,NaN,NaN
16,비스트,Rado,Rado,Rado
17,휘성,휘성,휘성,문하
18,케이윌,민연재,김도훈,김도훈
19,효린,김창기,김창기,SWEETCH
20,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
21,아이유,김이나,이민수,이민수
22,이승철,홍진영,홍진영,홍진영
23,틴 탑,용감한 형제,용감한 형제,용감한 형제
24,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
26,다비치,k-Smith,조영수,조영수
27,10cm,이승호,윤일상,NaN
28,정엽,Honeydew'o,Honeydew'o,Honeydew'o
29,Adele,NaN,NaN,NaN
30,해오라,한상원,한상원,한상원
31,비스트,용준형,용준형,용준형
32,엠블랙,이단옆차기,이단옆차기,이단옆차기
33,티아라,안영민,조영수,조영수
34,블락비,지코,지코,델리보이
35,Pixie Lott,Phil Thornalley,NaN,NaN
36,마리오,우리형과 내동생,이단옆차기,우리형과 내동생
37,박지윤,박지윤,권순관,권순관
38,스피카,송수윤,한재호,한재호
39,박완규,미루,김진권,조필성
40,예은,핫펠트,핫펠트,이우민 'Collapsedone'
41,주,NaN,NaN,NaN
42,김보경,러브시티,러브시티,러브시티
43,정준하,김민지,윤일상,윤일상
44,박진영,박진영,박진영,심은지
45,Maroon 5,NaN,NaN,NaN
46,Adele,NaN,NaN,NaN
47,노을,최규성,최규성,최규성
48,엠투엠 ,최갑원,손준혁,손준혁
49,김경호,이영훈,이영훈,양남승
50,하동균,NaN,NaN,NaN
1,BIGBANG,TEDDY,TEDDY,TEDDY
2,miss A,박진영,박진영,박진영
3,존 박,존 박,Andy Platts,NaN
4,케이윌,김이나,김도훈,김도훈
5,린,김박사,김박사,김박사
6,에일리,휘성,이기,NaN
7,이승철,홍진영,홍진영,홍진영
8,김범수,윤일상,최은하,NaN
9,miss A,홍지상,홍지상,홍지상
10,다비치,전해성,전해성,전해성
11,FTISLAND,한성호,김도훈,이상호
12,SE7EN,NaN,NaN,NaN
13,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
14,정엽,Honeydew'o,Honeydew'o,Honeydew'o
15,효린,개미,개미,NaN
16,이기찬,민연재,더 네임,NaN
17,존 박,김동률,김동률,김동률
18,나윤권,김세진,김세진,NaN
19,존 박,김동률,김동률,김동률
20,장재인,장재인,강현민,NaN
21,이영현,이현규,유해준,KingMing
22,써니힐,김이나,이민수,이민수
23,비스트,Rado,Rado,Rado
24,miss A,Billion Dollar Baby,Alexander Palmer,FUEGO
25,존 박,김이나,김형석,윤우석
26,먼데이 키즈,한상원,한상원,한상원
27,미료,NaN,NaN,NaN
28,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
30,투개월,이단옆차기,이단옆차기,Musthave
31,휘성,휘성,휘성,문하
32,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
33,miss A,Noday,Noday,Noday
34,존 박,김동률,김동률,김동률
35,스피카,송수윤,한재호,한재호
36,아이유,김이나,이민수,이민수
37,효린,김창기,김창기,SWEETCH
38,틴 탑,용감한 형제,용감한 형제,용감한 형제
39,김보경,러브시티,러브시티,러브시티
40,예은,핫펠트,핫펠트,이우민 'Collapsedone'
41,10cm,이승호,윤일상,NaN
42,블락비,지코,지코,델리보이
43,케이윌,민연재,김도훈,김도훈
44,miss A,김은수,Marlon Cole,Billion Dollar Baby
45,Adele,NaN,NaN,NaN
46,엠블랙,이단옆차기,이단옆차기,이단옆차기
47,다비치,k-Smith,조영수,조영수
48,해오라,한상원,한상원,한상원
49,써니힐,홍진영,홍진영,홍진영
50,Pixie Lott,Phil Thornalley,NaN,NaN
1,BIGBANG,TEDDY,TEDDY,TEDDY
2,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
3,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
4,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
5,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
6,miss A,박진영,박진영,박진영
7,BIGBANG,G-DRAGON,G-DRAGON,P.K
8,존 박,존 박,Andy Platts,NaN
9,에일리,휘성,이기,NaN
10,린,김박사,김박사,김박사
11,케이윌,김이나,김도훈,김도훈
12,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
13,이승철,홍진영,홍진영,홍진영
14,이기찬,민연재,더 네임,NaN
15,다비치,전해성,전해성,전해성
16,SE7EN,NaN,NaN,NaN
17,FTISLAND,한성호,김도훈,이상호
18,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
19,김범수,윤일상,최은하,NaN
20,효린,개미,개미,NaN
21,miss A,홍지상,홍지상,홍지상
22,정진운,박진영,박진영,심은지
23,존 박,김동률,김동률,김동률
24,써니힐,김이나,이민수,이민수
25,존 박,김동률,김동률,김동률
26,비스트,Rado,Rado,Rado
27,장재인,장재인,강현민,NaN
28,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
29,나윤권,김세진,김세진,NaN
30,아이유,김이나,이민수,이민수
31,스피카,송수윤,한재호,한재호
32,정엽,Honeydew'o,Honeydew'o,Honeydew'o
33,제아,NaN,NaN,NaN
34,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
35,존 박,김이나,김형석,윤우석
36,미료,NaN,NaN,NaN
38,10cm,이승호,윤일상,NaN
39,존 박,김동률,김동률,김동률
40,먼데이 키즈,한상원,한상원,한상원
41,가비엔제이,민명기,민명기,이석주
42,이영현,이현규,유해준,KingMing
43,효린,김창기,김창기,SWEETCH
44,블락비,지코,지코,델리보이
45,휘성,휘성,휘성,문하
46,Pixie Lott,Phil Thornalley,NaN,NaN
47,Adele,NaN,NaN,NaN
48,이기찬,NaN,NaN,NaN
49,틴 탑,용감한 형제,용감한 형제,용감한 형제
1,BIGBANG,TEDDY,TEDDY,TEDDY
2,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
3,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
4,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
5,에일리,휘성,이기,NaN
6,miss A,박진영,박진영,박진영
7,존 박,존 박,Andy Platts,NaN
8,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
9,린,김박사,김박사,김박사
10,BIGBANG,G-DRAGON,G-DRAGON,P.K
11,이승철,홍진영,홍진영,홍진영
12,케이윌,김이나,김도훈,김도훈
13,린,린,황성제,황성제
14,다비치,전해성,전해성,전해성
15,이기찬,민연재,더 네임,NaN
16,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
17,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
18,SE7EN,NaN,NaN,NaN
19,정진운,박진영,박진영,심은지
20,FTISLAND,한성호,김도훈,이상호
21,김범수,윤일상,최은하,NaN
22,Jason Mraz,NaN,NaN,NaN
23,존 박,김동률,김동률,김동률
24,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
25,효린,개미,개미,NaN
26,스피카,송수윤,한재호,한재호
27,아이유,김이나,이민수,이민수
28,miss A,홍지상,홍지상,홍지상
29,나윤권,김세진,김세진,NaN
30,써니힐,김이나,이민수,이민수
31,송혜교,민재영,김성훈,김성훈
32,장재인,장재인,강현민,NaN
33,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
34,Pixie Lott,Phil Thornalley,NaN,NaN
35,효린,김창기,김창기,SWEETCH
36,10cm,이승호,윤일상,NaN
37,존 박,김동률,김동률,김동률
38,양동근,NaN,NaN,NaN
39,존 박,김이나,김형석,윤우석
40,B1A4,NaN,NaN,NaN
41,디셈버,NaN,NaN,NaN
42,다비치,k-Smith,조영수,조영수
43,정엽,Honeydew'o,Honeydew'o,Honeydew'o
45,Adele,NaN,NaN,NaN
46,이영현,이현규,유해준,KingMing
47,미료,NaN,NaN,NaN
48,서영은,NaN,NaN,NaN
49,박완규,김태원,김태원,서재혁
50,프라이머리,다이나믹 듀오,프라이머리,프라이머리
1,2AM,방시혁,김도훈,김도훈
2,김수현,김창락,김창락,김창락
3,2AM,휘성,최용찬,이상호
