13,17,다비치,k-Smith,조영수,조영수
14,18,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
15,19,효린,김창기,김창기,SWEETCH
16,20,정준하,김민지,윤일상,윤일상
17,21,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,
18,22,다이나믹 듀오(Dynamic Duo),다이나믹 듀오,개코,philtre
19,23,엠블랙(MBLAQ),이단옆차기,이단옆차기,이단옆차기
20,24,수지(SUZY),궐(Geol),궐(Geol),궐(Geol)
21,25,해오라(Heora),한상원,한상원,한상원
22,26,티아라(T-ara),안영민,조영수,조영수
23,27,먼데이 키즈,한상원,한상원,한상원
24,,,,,
25,29,박진영,박진영,박진영,심은지
26,30,미료,,,
27,31,노을,최규성,최규성,최규성
28,32,블락비(Block B),지코(ZICO),지코(ZICO),델리보이(Delly Boi)
29,33,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
30,34,M.C THE MAX,박성일,박성일,박성일
31,35,마리오(Mario),우리형과 내동생,이단옆차기,우리형과 내동생
32,36,Pixie Lott,Phil Thornalley,,
33,37,리쌍(LeeSSang),개리,길,길
34,38,박재범,박재범,Da Beatfreakz,
35,,,,,
36,40,Beyonce,Ryan Tedder,Ryan Tedder,
37,41,제시카,김건우,김건우,김건우
38,42,SE7EN,,,
39,43,김경호,김종천,김종천,
40,44,Adele,,,
41,45,Maroon 5,,,
42,46,투개월,이단옆차기,이단옆차기,Musthave
43,47,이영현,김성면,김성면,유니크노트(Uniqnote)
44,48,스윗소로우(Sweet Sorrow),김영우,김영우,
45,49,이정,신인수,,
46,50,제이세라(J-Cera),,,
47,1,린(LYn),김박사,김박사,김박사
48,2,케이윌(K.will),김이나,김도훈(RBW),김도훈(RBW)
49,3,다비치,전해성,전해성,전해성
50,4,이영현,이현규,유해준,KingMing
51,5,FTISLAND,한성호,김도훈(RBW),이상호
52,6,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
53,7,나윤권,김세진,김세진,
54,8,SE7EN,,,
55,9,투개월,이단옆차기,이단옆차기,Musthave
56,10,먼데이 키즈,한상원,한상원,한상원
57,11,에일리,휘성(Realslow),이기,
58,12,장재인,장재인,강현민,
59,13,써니힐(Sunny Hill),김이나,이민수,이민수
60,14,윤건,김상현,윤건,윤건
61,15,미료,,,
62,16,비스트(Beast),Rado,Rado,Rado
63,17,휘성,휘성(Realslow),휘성(Realslow),문하
64,18,케이윌(K.will),민연재,김도훈(RBW),김도훈(RBW)
65,19,효린,김창기,김창기,SWEETCH
66,20,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
67,21,아이유(IU),김이나,이민수,이민수
68,22,이승철,홍진영,홍진영,홍진영
69,23,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
70,24,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
71,,,,,
72,26,다비치,k-Smith,조영수,조영수
73,27,10cm,이승호,윤일상,
74,28,정엽,Honeydew'o,Honeydew'o,Honeydew'o
75,29,Adele,,,
76,30,해오라(Heora),한상원,한상원,한상원
77,31,비스트(Beast),용준형,용준형,용준형
78,32,엠블랙(MBLAQ),이단옆차기,이단옆차기,이단옆차기
79,33,티아라(T-ara),안영민,조영수,조영수
80,34,블락비(Block B),지코(ZICO),지코(ZICO),델리보이(Delly Boi)
81,35,Pixie Lott,Phil Thornalley,,
82,36,마리오(Mario),우리형과 내동생,이단옆차기,우리형과 내동생
83,37,박지윤,박지윤,권순관,권순관
84,38,스피카(SPICA),송수윤,한재호,한재호
85,39,박완규,미루,김진권,조필성
86,40,예은,핫펠트(예은),핫펠트(예은),이우민 'Collapsedone'
87,41,주(JOO),,,
88,42,김보경,러브시티(LoveCity),러브시티(LoveCity),러브시티(LoveCity)
89,43,정준하,김민지,윤일상,윤일상
90,44,박진영,박진영,박진영,심은지
91,45,Maroon 5,,,
92,46,Adele,,,
93,47,노을,최규성,최규성,최규성
94,48,엠투엠 (M To M),최갑원,손준혁,손준혁
95,49,김경호,이영훈,이영훈,양남승
96,50,하동균,,,
97,1,BIGBANG,TEDDY,TEDDY,TEDDY
98,2,miss A,박진영,박진영,박진영
99,3,존 박,존 박,Andy Platts,
100,4,케이윌(K.will),김이나,김도훈(RBW),김도훈(RBW)
101,5,린(LYn),김박사,김박사,김박사
102,6,에일리,휘성(Realslow),이기,
103,7,이승철,홍진영,홍진영,홍진영
104,8,김범수,윤일상,최은하,
105,9,miss A,홍지상,홍지상,홍지상
106,10,다비치,전해성,전해성,전해성
107,11,FTISLAND,한성호,김도훈(RBW),이상호
108,12,SE7EN,,,
109,13,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
110,14,정엽,Honeydew'o,Honeydew'o,Honeydew'o
111,15,효린,개미,개미,
112,16,이기찬,민연재,더 네임(The Name),
113,17,존 박,김동률,김동률,김동률
114,18,나윤권,김세진,김세진,
115,19,존 박,김동률,김동률,김동률
116,20,장재인,장재인,강현민,
117,21,이영현,이현규,유해준,KingMing
118,22,써니힐(Sunny Hill),김이나,이민수,이민수
119,23,비스트(Beast),Rado,Rado,Rado
120,24,miss A,Billion Dollar Baby,Alexander Palmer,FUEGO
121,25,존 박,김이나,김형석,윤우석
122,26,먼데이 키즈,한상원,한상원,한상원
123,27,미료,,,
